,39001,nn_m,nn_std,orig
1996-11-03,7.33,9.338112094196294,1.225403095924888,7.33
1996-11-04,36.0,36.68231649310869,4.134999256618719,36.0
1996-11-05,24.0,34.58585750805847,3.1855882302426006,24.0
1996-11-06,7.82,9.065874199466547,2.3445040426392656,7.82
1996-11-07,6.53,6.0087660458208605,0.983948684579234,6.53
1996-11-08,6.57,8.056902686843415,0.6276399440451914,6.57
1996-11-09,7.24,7.5590308315113175,0.739648184000653,7.24
1996-11-10,16.2,25.64926008424849,2.5084717465531603,16.2
1996-11-11,15.9,17.884580742064678,2.420343392563272,15.9
1996-11-12,9.3,5.554464573254813,1.5542264899390534,9.3
1996-11-13,7.81,7.118375013834138,0.9530295005790528,7.81
1996-11-14,6.1,6.795880275304638,0.3663104418533463,6.1
1996-11-15,4.81,5.641450718972724,0.6336038839809144,4.81
1996-11-16,4.18,4.74801742091217,0.3742111593627878,4.18
1996-11-17,5.99,8.201960652812279,0.8508988804781359,5.99
1996-11-18,6.4,6.94557625571916,0.8090651105557324,6.4
1996-11-19,48.2,57.38797377821261,3.7257100859121586,48.2
1996-11-24,15.1,22.948191769792324,2.0663723682220634,15.1
1996-11-25,51.6,61.614908449844144,2.935125642316808,51.6
1996-11-26,24.9,34.02269027620585,2.1207285214079388,24.9
1996-11-27,15.1,13.323550621616347,2.9384103045331598,15.1
1996-11-28,13.0,12.464117867721445,0.9847330432615836,13.0
1996-11-29,14.9,25.476331713839674,1.2182212111449429,14.9
1996-11-30,22.3,23.94976426155659,1.6287178193623415,22.3
1996-12-01,10.2,12.69844838972032,1.0342100698542658,10.2
1996-12-02,9.34,7.663801320206113,0.8913263173374795,9.34
1996-12-03,18.8,28.869568812791872,1.6578620657007392,18.8
1996-12-04,30.4,32.281667636553834,1.7965129414969998,30.4
1996-12-05,15.1,14.278008120525675,1.0613409016073196,15.1
1996-12-06,10.6,9.27206595614558,0.9274919624331752,10.6
1996-12-07,6.27,9.497742717218868,0.5021751019995032,6.27
1996-12-08,6.98,6.512618935012248,0.3358545553227033,6.98
1996-12-09,5.78,7.151113299209384,0.3252117074243945,5.78
1996-12-10,8.02,6.579427390471567,0.27679669923979594,8.02
1996-12-11,5.39,7.694241627704497,0.3195593409294437,5.39
1996-12-12,6.41,6.137856579641897,0.2276357704517233,6.41
1996-12-13,4.59,6.685309995295782,0.22461303642327546,4.59
1996-12-14,4.4,5.325223693165985,0.2301348461869872,4.4
1996-12-15,4.28,5.016019982441239,0.2453373825672162,4.28
1996-12-16,4.84,5.175969514388732,0.2528289847139561,4.84
1996-12-17,7.71,5.818952940634094,0.2173406446374199,7.71
1996-12-18,6.55,8.001500894592299,0.3671070193604746,6.55
1996-12-19,8.6,7.819268666207763,0.4910441387213011,8.6
1996-12-20,8.31,9.777640041060158,0.5252093840947127,8.31
1996-12-21,6.48,8.395147102391496,0.4344646684740512,6.48
1996-12-22,9.26,6.723389228759215,0.20626202115041603,9.26
1996-12-23,4.85,8.345943124284743,0.2649664181945526,4.85
1996-12-24,4.12,5.331786396586119,0.2984989026877691,4.12
1996-12-25,3.35,4.436231711911995,0.29108814103754466,3.35
1996-12-26,2.75,3.7858459403648825,0.2769202520517384,2.75
1996-12-27,3.29,3.6320503588932316,0.2866082934892881,3.29
1996-12-28,2.71,4.08337949397087,0.29930793892250795,2.71
1996-12-29,3.75,3.731393179724837,0.2680782592784713,3.75
1996-12-30,3.53,4.136030203817446,0.361572859961247,3.53
1996-12-31,2.56,3.8263796409312447,0.3582743333125154,2.56
1997-01-01,3.01,3.15404660747567,0.29707701963204064,3.01
1997-01-02,8.7,3.5015684381834045,0.3225998918304805,8.7
1997-01-03,9.24,7.602935425158178,0.31472556935275825,9.24
1997-01-04,1.49,8.756096088423016,0.3866992725208659,1.49
1997-01-05,3.53,3.581426534512428,0.3544782714581463,3.53
1997-01-06,6.77,4.126609174788417,0.3174975603302328,6.77
1997-01-07,7.51,6.360950592569725,0.3801885342567345,7.51
1997-01-08,6.66,7.151902271705174,0.3751905654428236,6.66
1997-01-09,8.71,6.8046610329782,0.31161745618378744,8.71
1997-01-10,6.59,7.893082403780407,0.3183698195103319,6.59
1997-01-11,6.57,6.807051966284772,0.24725323392913226,6.57
1997-01-12,5.71,6.938393291607858,0.24793655678911564,5.71
1997-01-13,5.8,6.490090073506005,0.24275421572286504,5.8
1997-01-14,6.88,6.3114825164308135,0.3793396888127349,6.88
1997-01-15,5.5,6.4995623973699095,0.2876078917895576,5.5
1997-01-16,5.01,6.031762804946999,0.19454928898239046,5.01
1997-01-17,6.57,6.1904227216301475,0.3342648137888793,6.57
1997-01-18,6.73,7.634494316381098,0.3996602732532117,6.73
1997-01-19,7.24,8.068096483910375,0.498198408091716,7.24
1997-01-20,4.96,7.981670756506162,0.4982391210348817,4.96
1997-01-21,4.01,5.904818634175763,0.32038602627368795,4.01
1997-01-22,5.58,7.376540266691843,0.7809153900648751,5.58
1997-01-23,9.98,12.132441923180494,0.8800738821596127,9.98
1997-01-24,6.99,9.584106436428156,0.5364647560607525,6.99
1997-01-25,5.07,5.597022077088485,1.1284492597013414,5.07
1997-01-26,3.63,4.899709746182811,0.5353062480321521,3.63
1997-01-27,3.69,3.889253836385997,0.34035571912120605,3.69
1997-01-28,3.3,4.213144170438267,0.2672624908624785,3.3
1997-01-29,3.84,4.141053496796986,0.2527281783476917,3.84
1997-01-30,2.89,4.496160776214153,0.19327031521573887,2.89
1997-01-31,3.85,3.88106091779208,0.1975532089568735,3.85
1997-02-01,4.28,4.188604363014044,0.20363257578120528,4.28
1997-02-02,4.07,4.587179533558773,0.162248773524269,4.07
