,47019,nn_m,nn_std
2002-12-31,38.7,38.128203967719905,0.5997043966744152
2003-01-01,94.0,94.87850217467236,1.0497089536575843
2003-01-02,54.5,52.97137071310519,0.468662424639598
2003-01-03,34.2,34.40702199375417,0.3070869461067478
2003-01-04,20.9,21.11056726036912,0.5117023594878116
2003-01-05,16.2,15.882153177999411,0.1719472884281416
2003-01-06,12.9,12.661848106253316,0.2268041440607188
2003-01-07,11.2,11.084249925681116,0.192608667092681
2003-01-08,9.4,9.244447384853624,0.13191158553826565
2003-01-09,8.05,8.126113736080384,0.14150193860040394
2003-01-10,7.11,7.2823621572716135,0.11090812063222188
2003-01-11,6.22,6.207907672724703,0.1373012593412919
2003-01-12,5.63,5.615327312217609,0.1084282782117857
2003-01-13,6.74,6.4783494686092205,0.12266219706905815
2003-01-14,5.81,5.831345135617426,0.10065426800909602
2003-01-15,7.64,7.393193888373775,0.09916881400052278
2003-01-16,6.25,6.0739091486925085,0.07410095212348851
2003-01-17,9.47,9.16868582724472,0.1397047345419913
2003-01-18,10.2,9.41922126792869,0.17572664665057613
2003-01-19,14.8,13.952577041248421,0.2627526909129183
2003-01-20,42.2,44.570626146766465,0.6718508441625405
2003-01-21,32.2,34.80328848763974,0.4725244702999991
2003-01-22,20.2,20.205250126223515,0.4498849624829439
2003-01-23,13.0,12.881388595990916,0.5922450747932401
2003-01-24,11.2,11.282371254873388,0.27393076870903676
2003-01-25,10.3,10.138395833072469,0.11970929226158962
2003-01-26,9.66,9.486515784743302,0.14960169171483245
2003-01-27,9.9,10.005604925894696,0.1912492217574345
2003-01-28,11.2,11.505127322248722,0.1626447240832391
2003-01-29,9.13,9.38364615242105,0.12474242702387704
2003-01-30,11.8,10.906757883445499,0.23716821942175306
2003-01-31,8.08,8.122455147809964,0.1648824024768554
2003-02-01,18.1,18.206150314689932,0.27239081689413064
2003-02-02,13.9,14.046547303926276,0.21226553059164624
2003-02-03,17.1,18.210710412897352,0.2627441580490695
2003-02-04,12.0,12.1378294544669,0.09846724137384141
2003-02-05,9.88,9.381515325401462,0.15464731084568223
2003-02-06,9.73,9.452795192113514,0.1704012787429547
2003-02-07,8.85,8.595279896106279,0.09149504070365348
2003-02-08,12.3,11.70192763351008,0.5102098819160336
2003-02-09,34.0,33.893849212360244,0.4682802006318231
2003-02-10,24.6,24.28206608541556,0.2772031867446234
2003-02-11,23.9,23.987975749845663,0.37313604865188765
2003-02-12,14.7,15.178849193042584,0.24897222353549767
2003-02-13,12.1,12.387698309751082,0.24402370580182725
2003-02-14,10.3,10.038155684416148,0.16441982728202814
2003-02-15,8.76,8.470694508249954,0.16757612468881278
2003-02-16,7.64,7.499324669865809,0.0875337978282004
2003-02-17,6.71,6.5748803566780865,0.08149136106761379
2003-02-18,6.23,6.0844040872277105,0.0568761598942496
2003-02-19,5.8,5.689533955840507,0.052439883559634116
2003-02-20,5.37,5.309552932329225,0.059521200233055946
2003-02-21,4.79,4.651047632353014,0.05579003650415729
