,33013,orig,nn_m,nn_std
1953-11-23,0.623,0.623,0.6393640055198859,0.018027544718950073
1953-11-24,0.524,0.524,0.6180738748788756,0.018701698963700865
1953-11-25,0.524,0.524,0.4819455423540242,0.009921139203702942
1953-11-26,0.48100000000000004,0.48100000000000004,0.5228570694314567,0.014805290567886278
1953-11-27,0.425,0.425,0.44363650355366324,0.01764040582678682
1953-11-28,0.425,0.425,0.428771577710937,0.009130399756995597
1953-11-29,0.623,0.623,0.4920742093414813,0.010555294899812011
1953-11-30,0.623,0.623,0.6136975674882572,0.01748056043400931
1953-12-01,0.623,0.623,0.5904870526204103,0.015036968948275149
1953-12-02,0.5660000000000001,0.5660000000000001,0.5861742846920893,0.01623900309444879
1953-12-03,0.5660000000000001,0.5660000000000001,0.5716334941099038,0.018915141847765986
1953-12-04,0.5660000000000001,0.5660000000000001,0.5489017708073963,0.011977383215763504
1953-12-05,0.5660000000000001,0.5660000000000001,0.5548396959801891,0.014600719724132903
1953-12-06,0.5660000000000001,0.5660000000000001,0.5870885240482968,0.01096739843786064
1953-12-07,0.5660000000000001,0.5660000000000001,0.5540889980441164,0.010904110907524023
1953-12-08,0.524,0.524,0.5559881537341786,0.011304662660703412
1953-12-09,0.524,0.524,0.49847340757825137,0.008802214189246357
1953-12-10,0.48100000000000004,0.48100000000000004,0.5215446479203166,0.006762307754668038
1953-12-11,0.48100000000000004,0.48100000000000004,0.46003351231213496,0.011703748057105123
1953-12-12,0.48100000000000004,0.48100000000000004,0.472816192898339,0.009580433759005517
1953-12-13,0.623,0.623,0.47431980203725266,0.00951558166348453
1953-12-14,0.623,0.623,0.6159263061279052,0.010676376628995067
1953-12-15,0.623,0.623,0.5968563111611144,0.010175693000397444
1953-12-16,0.5660000000000001,0.5660000000000001,0.5897525983530874,0.00992806298187797
1953-12-17,0.5660000000000001,0.5660000000000001,0.5087723607981011,0.013683476398910646
1953-12-18,0.524,0.524,0.5723180063843577,0.008863935581315336
1953-12-19,0.524,0.524,0.5321662889074995,0.01315274188494351
1953-12-20,0.524,0.524,0.5383091869155366,0.011894709715227336
1953-12-21,0.524,0.524,0.5099428610679264,0.01115259170706602
1953-12-22,0.524,0.524,0.5391569294585223,0.01233855658601164
1953-12-23,0.524,0.524,0.5231716795316895,0.009753460003641539
1953-12-24,0.524,0.524,0.4967627354923697,0.008408081473766494
1953-12-25,0.524,0.524,0.5119207114796581,0.0073690420531838715
1953-12-26,0.524,0.524,0.5374427316687479,0.011475962043942408
1953-12-27,0.524,0.524,0.572565331090234,0.01479075780419825
1953-12-28,0.524,0.524,0.542921802495813,0.014137664919111202
