,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1992-02-13,0.2944129,0.26119468,0.2559482,0.2733999,0.26310167,0.28411865,0.29362604,0.26655838,0.2677019,0.263135,0.26745546,0.24858965,0.28407535,0.3006002,0.29001373,0.26856846,0.28885853,0.28831694,0.2899654,0.28443354
1992-02-14,0.29288802,0.2783509,0.26145437,0.27781445,0.27649376,0.2739343,0.2988661,0.27152586,0.27575853,0.27999398,0.2703556,0.2533117,0.28397626,0.3012275,0.3051561,0.2827083,0.28920782,0.28691667,0.29294375,0.27729636
1992-02-15,0.3001314,0.28707796,0.27890322,0.29175523,0.28857994,0.28826377,0.31073427,0.29130298,0.2899543,0.2960492,0.28130382,0.2661359,0.30379868,0.30982858,0.31205034,0.29876557,0.3065189,0.30314708,0.3057605,0.29093558
1992-02-16,0.29252046,0.2819561,0.2800775,0.28897107,0.28172022,0.28786474,0.31052735,0.2847415,0.28191087,0.2872138,0.2695415,0.26383987,0.29827613,0.30851358,0.29992014,0.28521556,0.29887694,0.2974507,0.29586467,0.28327522
1992-02-17,0.30270663,0.28376377,0.2833077,0.28882694,0.28174603,0.28635857,0.31652457,0.28367934,0.27807745,0.2892597,0.27716625,0.25961643,0.29631266,0.31388888,0.28573978,0.28186414,0.2993356,0.30664974,0.29186237,0.2728269
1992-02-18,0.30437985,0.30137202,0.30736154,0.2988128,0.27726915,0.2915181,0.33245727,0.29543978,0.29587367,0.29712445,0.29440677,0.27175388,0.29659924,0.32552075,0.2853179,0.2928226,0.30570525,0.30390355,0.30331862,0.27848235
1992-02-19,0.29954937,0.2947657,0.30072293,0.29715538,0.26895773,0.28215542,0.32130596,0.2915604,0.29664615,0.29755628,0.28752637,0.28175318,0.29248786,0.31583863,0.2859825,0.29518327,0.29427037,0.29948628,0.30595857,0.27027708
1992-02-20,0.27696964,0.26793158,0.28385404,0.26127404,0.24127409,0.25363594,0.2837594,0.25060377,0.2694528,0.2609082,0.2568667,0.25314656,0.25414988,0.29283527,0.25941345,0.27223387,0.26292786,0.25340942,0.27986947,0.2316137
1992-02-21,0.2652073,0.25227952,0.26191154,0.25497973,0.22747052,0.25324544,0.2751315,0.24607348,0.2643322,0.24915524,0.25524873,0.2422465,0.24998555,0.2863011,0.2447467,0.25039983,0.25125313,0.25352666,0.27167672,0.23170583
1992-02-22,0.26299626,0.25336602,0.26222694,0.25792304,0.22916016,0.2484065,0.2728652,0.24545535,0.26391047,0.25178453,0.25671983,0.2525031,0.24633554,0.28307852,0.24753739,0.25707522,0.24604535,0.25018182,0.27196082,0.22872396
1992-02-23,0.24662754,0.24238695,0.24036372,0.24033807,0.22792602,0.22897454,0.2528108,0.22626269,0.23978204,0.24725646,0.2301171,0.24064662,0.23879784,0.2658168,0.22776692,0.24552241,0.23521,0.24032861,0.2547863,0.21674223
1992-02-24,0.24498802,0.24476811,0.24266618,0.24758992,0.22962946,0.23756786,0.25323555,0.22669265,0.23587495,0.23632601,0.2292854,0.21551336,0.24124718,0.261791,0.22737482,0.23858172,0.23865607,0.23992813,0.24921998,0.23051633
1992-02-25,0.23052344,0.22655736,0.22876397,0.22373123,0.22160508,0.22311059,0.23122561,0.2239871,0.23630638,0.22151835,0.21688135,0.20402598,0.23652962,0.24772772,0.22389287,0.22907592,0.22858095,0.22251081,0.24012959,0.22681494
1992-02-26,0.23541766,0.2290954,0.23002906,0.23107038,0.22231083,0.22348005,0.23783073,0.22191966,0.23641174,0.22347322,0.22324866,0.2104891,0.22958001,0.25202122,0.21959667,0.233874,0.2273131,0.2244665,0.24226817,0.22346036
1992-02-27,0.23847301,0.23711853,0.23015505,0.23642407,0.22714186,0.22862862,0.24262974,0.22584704,0.23388304,0.22961907,0.22841212,0.21556415,0.23069209,0.25634173,0.22045428,0.23111677,0.2322428,0.23148388,0.24322842,0.22178517
1992-02-28,0.23433863,0.2375609,0.22834773,0.23599318,0.2308612,0.22802466,0.24496473,0.231132,0.23134753,0.23240888,0.23162402,0.21611832,0.22825056,0.25704703,0.22438625,0.2282791,0.23211882,0.23499769,0.2450079,0.21876568
