date,54057,nn_m,nn_std
1999-11-22,76.2,64.68377752980841,0.3688765692618897
1999-11-23,85.2,80.89119669463636,0.5971755426681868
1999-11-24,89.3,87.88300486240345,0.3478289509128488
1999-11-25,120.0,128.14845150852415,0.8852380912484185
1999-11-26,174.0,172.6039061114219,1.2356889695296074
1999-11-27,152.0,166.1651190767385,1.3205639166213656
1999-11-28,134.0,131.5196411350274,1.4806068188271497
1999-11-29,125.0,125.55118179705492,0.6080197508247059
1999-11-30,120.0,120.39602904219365,0.619885786859585
1999-12-01,110.0,108.87031045869638,0.5381851678814953
1999-12-02,102.0,100.5915662970049,0.541596726077103
1999-12-03,95.9,96.80574672009747,0.6553055819897369
1999-12-04,113.0,117.4991099922762,1.0860041229199815
1999-12-05,144.0,137.77893101656704,0.8400879269967578
1999-12-06,118.0,121.20777304494986,0.7600870148435449
1999-12-07,123.0,120.42874376490414,0.7875966753031116
1999-12-08,176.0,170.2119688755267,1.0060116487748478
1999-12-09,211.0,215.3203594859704,0.9758833990109791
1999-12-10,229.0,228.9232664289304,0.9898387586620137
1999-12-11,301.0,300.1083414833304,0.9236737867838791
1999-12-12,403.0,388.4563006421211,2.4687022104621215
1999-12-13,443.0,440.9524966020638,2.0401113595816196
1999-12-14,467.0,481.73021310456835,2.2265350994626396
1999-12-15,464.0,461.06998751683557,1.4765547228194578
1999-12-16,436.0,431.42917847023494,2.99029691466353
1999-12-17,353.0,376.1694972080567,2.280667294733852
1999-12-18,305.0,305.26108646411,2.4819499072818734
1999-12-19,301.0,298.3379948085424,2.0472005537973645
1999-12-20,278.0,274.3614717838224,1.9639129902926504
1999-12-21,253.0,250.15051834613342,1.618667618335403
1999-12-22,278.0,276.2230856117559,2.011242579725601
1999-12-23,331.0,317.45145569936483,4.015104099074257
1999-12-24,425.0,408.7817958051264,3.965730843689904
1999-12-25,471.0,512.0656159058113,9.099537858931969
1999-12-26,475.0,491.68924112851914,7.046721697409947
1999-12-27,500.0,476.20539516247084,5.312106015773746
1999-12-28,499.0,495.3133850385285,4.287266314912843
1999-12-29,470.0,462.2200533362974,3.4455288267755733
