date,0,1,2,3,4,5,6,7,8,9
2016-10-10,0.32819727,0.28910354,0.32521564,0.4023184,0.23451963,0.31942517,0.38490543,0.37278238,0.3806864,0.381774
2016-10-11,0.3482704,0.27167597,0.3311079,0.39568797,0.24001935,0.31297678,0.39829943,0.36853072,0.38486165,0.37411308
2016-10-12,0.34169933,0.2441574,0.31384224,0.37261686,0.2242085,0.30190647,0.3886186,0.36253017,0.36802697,0.37174332
2016-10-13,0.33745095,0.2437574,0.3245892,0.36583522,0.23076615,0.31189448,0.38418046,0.3645129,0.36209512,0.37634754
2016-10-14,0.41799596,0.36335424,0.44337076,0.48375556,0.33707765,0.40738714,0.48526916,0.4774666,0.4854265,0.4789204
2016-10-15,0.5652673,0.598472,0.6668797,0.6867528,0.5668936,0.5504363,0.6977009,0.68606025,0.66598076,0.6524595
2016-10-16,0.7107089,0.8276579,0.814346,0.7973558,0.6991444,0.6845733,0.9406306,0.8608056,0.74076384,0.7104742
2016-10-17,0.6443037,0.6469604,0.6016193,0.6085275,0.5915471,0.55744076,0.7240849,0.61908424,0.61360246,0.4226178
2016-10-18,0.4509785,0.49329033,0.4779957,0.4674581,0.5000478,0.5007581,0.44756326,0.508201,0.5473909,0.42692083
2016-10-19,0.4815825,0.61258674,0.5720828,0.64665544,0.51887184,0.46643764,0.4331559,0.42700657,0.58551145,0.30527592
2016-10-20,0.44667146,0.2518616,0.543366,0.30193835,0.46654245,0.39496446,0.32296857,0.2081281,0.2371365,0.0812415
2016-10-21,0.2953104,0.19652757,0.28487176,0.14295742,0.33574608,0.37508097,0.2521378,0.23828045,0.15548404,0.16199966
2016-10-22,0.33580956,0.5508141,0.43871838,0.45863432,0.4828463,0.5160157,0.3413298,0.375977,0.2857862,0.40966213
2016-10-23,0.35980794,0.46227816,0.47873133,0.47367552,0.50175107,0.4914294,0.41025573,0.31928122,0.31375003,0.3276577
2016-10-24,0.37230673,0.35048726,0.38473433,0.41271016,0.34316352,0.4222864,0.41657785,0.3786321,0.37486243,0.37494034
2016-10-25,0.4012712,0.35800382,0.39608008,0.42391682,0.33631983,0.42648017,0.44233707,0.4044182,0.40499258,0.40456975
2016-10-26,0.391265,0.35220465,0.38621098,0.43797582,0.3121955,0.3961171,0.43589577,0.40591785,0.41531998,0.4098708
2016-10-27,0.36424497,0.29658476,0.36813086,0.3954213,0.28415868,0.3642038,0.41286296,0.39395353,0.377536,0.40023094
2016-10-28,0.37974176,0.31200334,0.3637833,0.40454182,0.28106698,0.36425203,0.42007142,0.39310887,0.40095192,0.40398318
